map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
Ascent,BME,2,2 (2),2 (0),5 (4),12 (7),458809,VCT 2025 Pacific Stage 1_csvs
Haven,GEN,1,3 (1),1 (0),6 (3),22 (11),458809,VCT 2025 Pacific Stage 1_csvs
Haven,BME,1,3 (1),2 (2),6 (3),21 (11),458809,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,1,7 (1),2 (1),10 (5),34 (16),458809,VCT 2025 Pacific Stage 1_csvs
All Maps,BME,3,5 (3),4 (2),11 (7),33 (18),458809,VCT 2025 Pacific Stage 1_csvs
Ascent,NS,0,4 (1),2 (0),2 (1),10 (3),458810,VCT 2025 Pacific Stage 1_csvs
Ascent,RRQ,2,3 (2),0 (0),4 (3),11 (8),458810,VCT 2025 Pacific Stage 1_csvs
Split,NS,1,2 (1),3 (1),5 (3),11 (8),458810,VCT 2025 Pacific Stage 1_csvs
Split,RRQ,1,3 (1),0 (0),7 (4),11 (3),458810,VCT 2025 Pacific Stage 1_csvs
All Maps,NS,1,5 (3),1 (1),3 (2),14 (7),458810,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,1,6 (2),1 (0),3 (2),13 (6),458810,VCT 2025 Pacific Stage 1_csvs
Lotus,TS,1,3 (1),0 (0),5 (1),16 (9),458811,VCT 2025 Pacific Stage 1_csvs
Lotus,ZETA,1,3 (1),3 (0),6 (5),12 (7),458811,VCT 2025 Pacific Stage 1_csvs
Icebox,TS,2,3 (2),1 (0),8 (4),11 (4),458811,VCT 2025 Pacific Stage 1_csvs
Icebox,ZETA,0,4 (1),0 (0),3 (2),16 (10),458811,VCT 2025 Pacific Stage 1_csvs
All Maps,TS,3,6 (3),1 (0),13 (5),27 (13),458811,VCT 2025 Pacific Stage 1_csvs
All Maps,ZETA,1,7 (2),3 (0),9 (7),28 (17),458811,VCT 2025 Pacific Stage 1_csvs
Icebox,T1,0,4 (0),1 (0),4 (2),14 (11),458812,VCT 2025 Pacific Stage 1_csvs
Icebox,NS,2,2 (2),2 (0),9 (4),10 (4),458812,VCT 2025 Pacific Stage 1_csvs
Split,T1,1,3 (1),1 (0),3 (2),17 (10),458812,VCT 2025 Pacific Stage 1_csvs
Split,NS,1,3 (1),1 (0),6 (2),14 (8),458812,VCT 2025 Pacific Stage 1_csvs
All Maps,T1,1,7 (1),2 (0),7 (4),31 (21),458812,VCT 2025 Pacific Stage 1_csvs
All Maps,NS,3,5 (3),3 (0),15 (6),24 (12),458812,VCT 2025 Pacific Stage 1_csvs
Lotus,GEN,2,2 (2),1 (0),7 (4),13 (7),458813,VCT 2025 Pacific Stage 1_csvs
Lotus,PRX,0,3 (0),0 (0),10 (6),10 (4),458813,VCT 2025 Pacific Stage 1_csvs
Fracture,GEN,1,3 (1),2 (0),4 (2),10 (3),458813,VCT 2025 Pacific Stage 1_csvs
Fracture,PRX,1,2 (1),2 (1),7 (5),8 (6),458813,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,1,3 (1),0 (0),2 (1),12 (11),458813,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,1,3 (1),3 (0),4 (1),7 (2),458813,VCT 2025 Pacific Stage 1_csvs
Lotus,DRX,2,2 (2),0 (0),4 (4),10 (7),458814,VCT 2025 Pacific Stage 1_csvs
Lotus,DFM,0,3 (0),3 (1),5 (1),5 (1),458814,VCT 2025 Pacific Stage 1_csvs
Ascent,DRX,2,2 (2),0 (0),6 (3),13 (8),458814,VCT 2025 Pacific Stage 1_csvs
Ascent,DFM,0,4 (0),2 (0),6 (3),9 (5),458814,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,4,4 (4),0 (0),10 (7),23 (15),458814,VCT 2025 Pacific Stage 1_csvs
All Maps,DFM,0,7 (0),5 (1),11 (4),14 (6),458814,VCT 2025 Pacific Stage 1_csvs
Lotus,TLN,1,3 (1),1 (0),6 (2),11 (5),458815,VCT 2025 Pacific Stage 1_csvs
Lotus,RRQ,1,3 (1),1 (0),4 (2),13 (10),458815,VCT 2025 Pacific Stage 1_csvs
Ascent,TLN,0,5 (0),0 (0),4 (2),9 (3),458815,VCT 2025 Pacific Stage 1_csvs
Ascent,RRQ,2,2 (2),0 (0),6 (5),10 (6),458815,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,1,8 (1),1 (0),10 (4),20 (8),458815,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,3,5 (3),1 (0),10 (7),23 (16),458815,VCT 2025 Pacific Stage 1_csvs
Lotus,BME,2,2 (2),0 (0),3 (2),9 (9),458816,VCT 2025 Pacific Stage 1_csvs
Lotus,GE,0,3 (0),0 (0),5 (0),6 (1),458816,VCT 2025 Pacific Stage 1_csvs
Haven,BME,1,3 (1),1 (1),4 (2),16 (9),458816,VCT 2025 Pacific Stage 1_csvs
Haven,GE,1,3 (1),3 (0),7 (3),11 (7),458816,VCT 2025 Pacific Stage 1_csvs
All Maps,BME,3,5 (3),1 (1),7 (4),25 (18),458816,VCT 2025 Pacific Stage 1_csvs
All Maps,GE,1,6 (1),3 (0),12 (3),17 (8),458816,VCT 2025 Pacific Stage 1_csvs
Lotus,GEN,2,2 (2),0 (0),2 (2),11 (9),458817,VCT 2025 Pacific Stage 1_csvs
Lotus,DFM,0,4 (0),1 (0),8 (2),2 (0),458817,VCT 2025 Pacific Stage 1_csvs
Fracture,GEN,1,3 (1),0 (0),4 (4),10 (8),458817,VCT 2025 Pacific Stage 1_csvs
Fracture,DFM,1,3 (1),2 (2),6 (1),6 (0),458817,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,3,5 (3),0 (0),6 (6),21 (17),458817,VCT 2025 Pacific Stage 1_csvs
All Maps,DFM,1,7 (1),3 (2),14 (3),8 (0),458817,VCT 2025 Pacific Stage 1_csvs
Split,RRQ,2,2 (2),1 (0),5 (2),11 (9),458818,VCT 2025 Pacific Stage 1_csvs
Split,ZETA,0,4 (0),1 (0),5 (1),9 (5),458818,VCT 2025 Pacific Stage 1_csvs
Haven,RRQ,1,3 (1),1 (0),4 (1),14 (11),458818,VCT 2025 Pacific Stage 1_csvs
Haven,ZETA,1,3 (1),2 (0),5 (2),12 (6),458818,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,3,5 (3),2 (0),9 (3),25 (20),458818,VCT 2025 Pacific Stage 1_csvs
All Maps,ZETA,1,7 (1),3 (0),10 (3),21 (11),458818,VCT 2025 Pacific Stage 1_csvs
Pearl,PRX,2,2 (2),1 (0),5 (2),13 (9),458819,VCT 2025 Pacific Stage 1_csvs
Pearl,BME,0,3 (0),0 (0),7 (3),11 (5),458819,VCT 2025 Pacific Stage 1_csvs
Ascent,PRX,0,4 (0),1 (0),6 (3),11 (6),458819,VCT 2025 Pacific Stage 1_csvs
Ascent,BME,2,2 (2),2 (1),5 (3),13 (7),458819,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,1,3 (1),1 (1),4 (2),15 (6),458819,VCT 2025 Pacific Stage 1_csvs
All Maps,BME,1,3 (1),2 (0),3 (2),15 (10),458819,VCT 2025 Pacific Stage 1_csvs
Haven,TLN,0,4 (0),1 (0),3 (0),10 (5),458820,VCT 2025 Pacific Stage 1_csvs
Haven,NS,2,2 (2),1 (0),4 (4),11 (7),458820,VCT 2025 Pacific Stage 1_csvs
Lotus,TLN,1,4 (2),1 (0),2 (0),14 (11),458820,VCT 2025 Pacific Stage 1_csvs
Lotus,NS,1,3 (2),1 (0),6 (2),11 (4),458820,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,1,3 (1),1 (0),3 (3),12 (9),458820,VCT 2025 Pacific Stage 1_csvs
All Maps,NS,1,3 (1),2 (0),3 (2),11 (3),458820,VCT 2025 Pacific Stage 1_csvs
Ascent,DRX,2,2 (2),0 (0),5 (5),9 (6),458821,VCT 2025 Pacific Stage 1_csvs
Ascent,GE,0,4 (0),1 (0),4 (0),7 (3),458821,VCT 2025 Pacific Stage 1_csvs
Split,DRX,0,3 (0),1 (0),3 (1),16 (12),458821,VCT 2025 Pacific Stage 1_csvs
Split,GE,2,2 (2),2 (0),9 (5),10 (3),458821,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,2,5 (2),1 (0),8 (6),25 (18),458821,VCT 2025 Pacific Stage 1_csvs
All Maps,GE,2,6 (2),3 (0),13 (5),17 (6),458821,VCT 2025 Pacific Stage 1_csvs
Haven,T1,1,3 (1),0 (0),2 (1),14 (11),458822,VCT 2025 Pacific Stage 1_csvs
Haven,TS,1,3 (1),1 (0),7 (3),8 (2),458822,VCT 2025 Pacific Stage 1_csvs
Icebox,T1,1,3 (1),1 (0),7 (3),11 (5),458822,VCT 2025 Pacific Stage 1_csvs
Icebox,TS,1,3 (1),2 (1),3 (2),14 (9),458822,VCT 2025 Pacific Stage 1_csvs
All Maps,T1,1,3 (1),1 (0),3 (3),14 (9),458822,VCT 2025 Pacific Stage 1_csvs
All Maps,TS,1,4 (2),0 (0),7 (4),10 (2),458822,VCT 2025 Pacific Stage 1_csvs
Pearl,NS,1,3 (1),4 (3),3 (2),13 (7),458823,VCT 2025 Pacific Stage 1_csvs
Pearl,TS,1,3 (1),1 (1),5 (2),14 (6),458823,VCT 2025 Pacific Stage 1_csvs
Split,NS,1,3 (1),0 (0),2 (2),11 (10),458823,VCT 2025 Pacific Stage 1_csvs
Split,TS,1,2 (1),3 (0),5 (1),6 (1),458823,VCT 2025 Pacific Stage 1_csvs
All Maps,NS,2,6 (2),4 (3),5 (4),24 (17),458823,VCT 2025 Pacific Stage 1_csvs
All Maps,TS,2,5 (2),4 (1),10 (3),20 (7),458823,VCT 2025 Pacific Stage 1_csvs
Icebox,DRX,0,3 (0),2 (0),3 (1),13 (7),458824,VCT 2025 Pacific Stage 1_csvs
Icebox,BME,2,2 (2),1 (0),6 (6),12 (5),458824,VCT 2025 Pacific Stage 1_csvs
Haven,DRX,1,3 (2),1 (1),8 (5),14 (6),458824,VCT 2025 Pacific Stage 1_csvs
Haven,BME,1,4 (1),2 (1),4 (2),16 (8),458824,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,1,3 (1),1 (1),9 (2),8 (4),458824,VCT 2025 Pacific Stage 1_csvs
All Maps,BME,1,3 (1),0 (0),3 (2),15 (10),458824,VCT 2025 Pacific Stage 1_csvs
Pearl,T1,0,4 (0),1 (1),7 (5),11 (7),458825,VCT 2025 Pacific Stage 1_csvs
Pearl,RRQ,2,2 (2),1 (0),8 (3),12 (5),458825,VCT 2025 Pacific Stage 1_csvs
Icebox,T1,2,2 (2),1 (0),6 (2),14 (6),458825,VCT 2025 Pacific Stage 1_csvs
Icebox,RRQ,0,4 (0),1 (0),4 (3),14 (10),458825,VCT 2025 Pacific Stage 1_csvs
All Maps,T1,1,3 (1),2 (0),4 (2),9 (2),458825,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,1,3 (1),1 (1),3 (2),11 (9),458825,VCT 2025 Pacific Stage 1_csvs
Haven,GEN,2,2 (2),1 (1),5 (3),10 (7),458826,VCT 2025 Pacific Stage 1_csvs
Haven,GE,0,4 (0),0 (0),4 (2),10 (3),458826,VCT 2025 Pacific Stage 1_csvs
Pearl,GEN,1,3 (1),1 (1),2 (2),14 (9),458826,VCT 2025 Pacific Stage 1_csvs
Pearl,GE,1,3 (1),1 (0),6 (2),10 (4),458826,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,3,5 (3),2 (2),7 (5),24 (16),458826,VCT 2025 Pacific Stage 1_csvs
All Maps,GE,1,7 (1),1 (0),10 (4),20 (7),458826,VCT 2025 Pacific Stage 1_csvs
Lotus,TLN,0,5 (0),0 (0),3 (2),9 (2),458827,VCT 2025 Pacific Stage 1_csvs
Lotus,ZETA,2,2 (2),0 (0),5 (4),10 (7),458827,VCT 2025 Pacific Stage 1_csvs
Split,TLN,1,3 (1),2 (0),7 (3),11 (6),458827,VCT 2025 Pacific Stage 1_csvs
Split,ZETA,1,5 (2),1 (0),3 (1),14 (10),458827,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,1,8 (1),2 (0),10 (5),20 (8),458827,VCT 2025 Pacific Stage 1_csvs
All Maps,ZETA,3,7 (4),1 (0),8 (5),24 (17),458827,VCT 2025 Pacific Stage 1_csvs
Ascent,DFM,1,3 (1),1 (0),10 (7),10 (5),458828,VCT 2025 Pacific Stage 1_csvs
Ascent,PRX,1,3 (1),1 (1),6 (3),14 (6),458828,VCT 2025 Pacific Stage 1_csvs
Lotus,DFM,0,4 (0),1 (1),2 (0),13 (6),458828,VCT 2025 Pacific Stage 1_csvs
Lotus,PRX,2,1 (1),2 (1),4 (2),13 (9),458828,VCT 2025 Pacific Stage 1_csvs
All Maps,DFM,1,3 (1),0 (0),9 (6),16 (6),458828,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,1,3 (1),0 (0),10 (5),15 (9),458828,VCT 2025 Pacific Stage 1_csvs
Split,PRX,2,2 (2),1 (1),4 (2),11 (8),458830,VCT 2025 Pacific Stage 1_csvs
Split,GE,0,2 (0),3 (2),6 (1),7 (2),458830,VCT 2025 Pacific Stage 1_csvs
Lotus,PRX,1,4 (1),1 (1),4 (2),13 (9),458830,VCT 2025 Pacific Stage 1_csvs
Lotus,GE,1,2 (1),0 (0),9 (4),11 (4),458830,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,3,6 (3),2 (2),8 (4),24 (17),458830,VCT 2025 Pacific Stage 1_csvs
All Maps,GE,1,4 (1),3 (2),15 (5),18 (6),458830,VCT 2025 Pacific Stage 1_csvs
Icebox,T1,1,3 (1),2 (1),4 (1),10 (3),458831,VCT 2025 Pacific Stage 1_csvs
Icebox,TLN,1,3 (1),0 (0),2 (2),14 (10),458831,VCT 2025 Pacific Stage 1_csvs
Haven,T1,0,4 (0),2 (1),2 (0),12 (6),458831,VCT 2025 Pacific Stage 1_csvs
Haven,TLN,2,3 (2),0 (0),6 (4),11 (7),458831,VCT 2025 Pacific Stage 1_csvs
All Maps,T1,1,7 (1),4 (2),6 (1),22 (9),458831,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,3,6 (3),0 (0),8 (6),25 (17),458831,VCT 2025 Pacific Stage 1_csvs
Lotus,DRX,2,3 (2),1 (1),7 (2),10 (3),458832,VCT 2025 Pacific Stage 1_csvs
Lotus,GEN,0,4 (1),0 (0),5 (3),12 (9),458832,VCT 2025 Pacific Stage 1_csvs
Split,DRX,2,2 (2),1 (1),6 (3),14 (7),458832,VCT 2025 Pacific Stage 1_csvs
Split,GEN,0,4 (0),1 (0),3 (2),15 (8),458832,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,1,3 (1),1 (0),3 (2),15 (10),458832,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,1,3 (1),2 (1),5 (2),12 (5),458832,VCT 2025 Pacific Stage 1_csvs
Lotus,NS,1,3 (2),1 (1),2 (1),13 (9),458833,VCT 2025 Pacific Stage 1_csvs
Lotus,ZETA,1,4 (1),1 (0),4 (1),10 (4),458833,VCT 2025 Pacific Stage 1_csvs
Pearl,NS,1,3 (1),2 (0),8 (2),11 (8),458833,VCT 2025 Pacific Stage 1_csvs
Pearl,ZETA,1,4 (1),1 (1),3 (2),16 (9),458833,VCT 2025 Pacific Stage 1_csvs
All Maps,NS,1,3 (1),0 (0),4 (3),13 (9),458833,VCT 2025 Pacific Stage 1_csvs
All Maps,ZETA,1,3 (1),0 (0),6 (2),11 (4),458833,VCT 2025 Pacific Stage 1_csvs
Fracture,DFM,0,4 (0),0 (0),7 (3),10 (5),458834,VCT 2025 Pacific Stage 1_csvs
Fracture,BME,2,2 (2),1 (1),5 (3),13 (7),458834,VCT 2025 Pacific Stage 1_csvs
Ascent,DFM,0,4 (0),1 (1),6 (3),8 (2),458834,VCT 2025 Pacific Stage 1_csvs
Ascent,BME,2,2 (2),0 (0),5 (5),12 (6),458834,VCT 2025 Pacific Stage 1_csvs
All Maps,DFM,0,8 (0),1 (1),13 (6),18 (7),458834,VCT 2025 Pacific Stage 1_csvs
All Maps,BME,4,4 (4),1 (1),10 (8),25 (13),458834,VCT 2025 Pacific Stage 1_csvs
Haven,RRQ,0,4 (0),1 (0),4 (1),19 (14),458835,VCT 2025 Pacific Stage 1_csvs
Haven,TS,2,3 (2),2 (0),6 (2),17 (9),458835,VCT 2025 Pacific Stage 1_csvs
Ascent,RRQ,0,4 (0),1 (0),2 (0),11 (5),458835,VCT 2025 Pacific Stage 1_csvs
Ascent,TS,2,2 (2),1 (1),4 (3),11 (7),458835,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,1,3 (1),1 (0),3 (1),15 (7),458835,VCT 2025 Pacific Stage 1_csvs
All Maps,TS,1,3 (2),1 (0),5 (2),13 (9),458835,VCT 2025 Pacific Stage 1_csvs
Haven,TLN,1,3 (1),0 (0),2 (2),14 (10),473833,VCT 2025 Pacific Stage 1_csvs
Haven,GEN,1,3 (1),1 (0),8 (3),7 (2),473833,VCT 2025 Pacific Stage 1_csvs
Icebox,TLN,1,3 (1),1 (0),6 (2),9 (3),473833,VCT 2025 Pacific Stage 1_csvs
Icebox,GEN,1,3 (1),0 (0),3 (3),13 (9),473833,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,1,4 (1),1 (0),6 (1),5 (1),473833,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,1,3 (1),0 (0),2 (2),11 (10),473833,VCT 2025 Pacific Stage 1_csvs
Lotus,DRX,2,3 (2),3 (1),3 (1),19 (11),473834,VCT 2025 Pacific Stage 1_csvs
Lotus,T1,0,4 (1),1 (0),1 (0),22 (12),473834,VCT 2025 Pacific Stage 1_csvs
Fracture,DRX,0,4 (0),0 (0),3 (2),19 (12),473834,VCT 2025 Pacific Stage 1_csvs
Fracture,T1,2,2 (2),2 (1),7 (5),15 (4),473834,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,2,7 (2),3 (1),6 (3),38 (23),473834,VCT 2025 Pacific Stage 1_csvs
All Maps,T1,2,6 (3),3 (1),8 (5),37 (16),473834,VCT 2025 Pacific Stage 1_csvs
Split,BME,1,3 (1),2 (1),7 (4),9 (2),473837,VCT 2025 Pacific Stage 1_csvs
Split,GEN,1,3 (1),1 (0),3 (3),14 (9),473837,VCT 2025 Pacific Stage 1_csvs
Ascent,BME,1,3 (1),1 (0),5 (1),10 (4),473837,VCT 2025 Pacific Stage 1_csvs
Ascent,GEN,1,3 (1),0 (0),5 (3),11 (9),473837,VCT 2025 Pacific Stage 1_csvs
All Maps,BME,2,6 (2),3 (1),12 (5),19 (6),473837,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,2,6 (2),1 (0),8 (6),25 (18),473837,VCT 2025 Pacific Stage 1_csvs
Fracture,RRQ,1,3 (2),1 (0),6 (3),14 (6),473838,VCT 2025 Pacific Stage 1_csvs
Fracture,DRX,1,3 (1),3 (1),2 (1),16 (10),473838,VCT 2025 Pacific Stage 1_csvs
Icebox,RRQ,1,3 (1),0 (0),4 (4),10 (8),473838,VCT 2025 Pacific Stage 1_csvs
Icebox,DRX,1,3 (1),2 (0),4 (2),8 (1),473838,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,1,3 (1),0 (0),5 (2),18 (11),473838,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,1,3 (1),2 (0),4 (2),17 (9),473838,VCT 2025 Pacific Stage 1_csvs
Haven,TLN,1,3 (1),1 (0),5 (4),13 (8),473835,VCT 2025 Pacific Stage 1_csvs
Haven,NS,1,2 (1),2 (0),7 (3),11 (5),473835,VCT 2025 Pacific Stage 1_csvs
Pearl,TLN,0,6 (0),1 (0),3 (2),10 (5),473835,VCT 2025 Pacific Stage 1_csvs
Pearl,NS,2,2 (2),0 (0),7 (4),11 (7),473835,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,0,5 (0),1 (0),1 (1),15 (12),473835,VCT 2025 Pacific Stage 1_csvs
All Maps,NS,2,2 (2),0 (0),8 (4),12 (3),473835,VCT 2025 Pacific Stage 1_csvs
Fracture,T1,2,2 (2),0 (0),3 (3),11 (8),473836,VCT 2025 Pacific Stage 1_csvs
Fracture,PRX,0,3 (0),2 (0),4 (2),7 (1),473836,VCT 2025 Pacific Stage 1_csvs
Ascent,T1,0,4 (0),3 (0),2 (2),8 (2),473836,VCT 2025 Pacific Stage 1_csvs
Ascent,PRX,2,2 (2),0 (0),7 (5),8 (6),473836,VCT 2025 Pacific Stage 1_csvs
All Maps,T1,0,3 (0),1 (0),6 (1),5 (1),473836,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,2,2 (2),0 (0),3 (3),10 (8),473836,VCT 2025 Pacific Stage 1_csvs
Icebox,DRX,1,3 (2),0 (0),2 (1),12 (10),473839,VCT 2025 Pacific Stage 1_csvs
Icebox,TLN,1,3 (1),1 (0),8 (2),5 (1),473839,VCT 2025 Pacific Stage 1_csvs
Fracture,DRX,1,3 (1),1 (0),3 (2),19 (11),473839,VCT 2025 Pacific Stage 1_csvs
Fracture,TLN,1,5 (1),1 (0),5 (3),15 (8),473839,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,2,6 (3),1 (0),5 (3),31 (21),473839,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,2,8 (2),2 (0),13 (5),20 (9),473839,VCT 2025 Pacific Stage 1_csvs
Lotus,BME,0,4 (0),2 (1),3 (0),9 (4),473840,VCT 2025 Pacific Stage 1_csvs
Lotus,PRX,2,2 (2),0 (0),4 (4),12 (7),473840,VCT 2025 Pacific Stage 1_csvs
Fracture,BME,0,3 (0),1 (0),7 (3),10 (5),473840,VCT 2025 Pacific Stage 1_csvs
Fracture,PRX,2,2 (2),1 (0),7 (3),11 (8),473840,VCT 2025 Pacific Stage 1_csvs
All Maps,BME,0,7 (0),3 (1),10 (3),19 (9),473840,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,4,4 (4),1 (0),11 (7),23 (15),473840,VCT 2025 Pacific Stage 1_csvs
Lotus,GEN,2,2 (2),0 (0),3 (3),13 (8),473841,VCT 2025 Pacific Stage 1_csvs
Lotus,RRQ,0,4 (0),1 (0),3 (1),10 (4),473841,VCT 2025 Pacific Stage 1_csvs
Icebox,GEN,1,3 (1),0 (0),3 (2),15 (10),473841,VCT 2025 Pacific Stage 1_csvs
Icebox,RRQ,1,3 (1),1 (0),8 (3),9 (4),473841,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,3,5 (3),0 (0),6 (5),28 (18),473841,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,1,7 (1),2 (0),11 (4),19 (8),473841,VCT 2025 Pacific Stage 1_csvs
Lotus,DRX,1,3 (1),1 (0),4 (2),16 (8),473842,VCT 2025 Pacific Stage 1_csvs
Lotus,PRX,1,3 (1),2 (1),3 (1),16 (10),473842,VCT 2025 Pacific Stage 1_csvs
Icebox,DRX,1,3 (1),2 (0),4 (3),12 (4),473842,VCT 2025 Pacific Stage 1_csvs
Icebox,PRX,1,3 (1),1 (1),5 (4),12 (7),473842,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,2,6 (2),3 (0),8 (5),28 (12),473842,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,2,6 (2),3 (2),8 (5),28 (17),473842,VCT 2025 Pacific Stage 1_csvs
Fracture,RRQ,0,3 (0),1 (0),7 (1),4 (1),473843,VCT 2025 Pacific Stage 1_csvs
Fracture,PRX,2,2 (2),0 (0),3 (3),10 (8),473843,VCT 2025 Pacific Stage 1_csvs
Split,RRQ,1,3 (1),3 (2),4 (3),16 (8),473843,VCT 2025 Pacific Stage 1_csvs
Split,PRX,1,3 (1),1 (0),1 (1),21 (10),473843,VCT 2025 Pacific Stage 1_csvs
Pearl,RRQ,1,3 (1),3 (2),4 (1),16 (10),473843,VCT 2025 Pacific Stage 1_csvs
Pearl,PRX,1,4 (1),1 (0),9 (4),12 (7),473843,VCT 2025 Pacific Stage 1_csvs
Icebox,RRQ,0,3 (0),2 (0),4 (0),7 (3),473843,VCT 2025 Pacific Stage 1_csvs
Icebox,PRX,2,2 (2),1 (1),4 (3),9 (7),473843,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,1,3 (1),0 (0),3 (3),13 (9),473843,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,1,3 (1),2 (0),6 (3),8 (2),473843,VCT 2025 Pacific Stage 1_csvs
Haven,GEN,1,3 (2),0 (0),5 (3),13 (8),473844,VCT 2025 Pacific Stage 1_csvs
Haven,RRQ,1,3 (1),1 (0),4 (1),13 (6),473844,VCT 2025 Pacific Stage 1_csvs
Ascent,GEN,0,3 (0),1 (0),5 (3),15 (8),473844,VCT 2025 Pacific Stage 1_csvs
Ascent,RRQ,2,3 (2),2 (0),3 (2),16 (9),473844,VCT 2025 Pacific Stage 1_csvs
Lotus,GEN,1,3 (1),3 (1),7 (3),9 (4),473844,VCT 2025 Pacific Stage 1_csvs
Lotus,RRQ,1,3 (1),1 (1),4 (3),14 (8),473844,VCT 2025 Pacific Stage 1_csvs
Icebox,GEN,2,2 (2),0 (0),12 (6),10 (3),473844,VCT 2025 Pacific Stage 1_csvs
Icebox,RRQ,0,5 (1),0 (0),1 (1),18 (11),473844,VCT 2025 Pacific Stage 1_csvs
All Maps,GEN,4,11 (5),4 (1),29 (15),47 (23),473844,VCT 2025 Pacific Stage 1_csvs
All Maps,RRQ,4,14 (5),4 (1),12 (7),61 (34),473844,VCT 2025 Pacific Stage 1_csvs
Bind,BME,0,4 (0),1 (0),1 (1),15 (7),508815,VCT 2025 Pacific Stage 2_csvs
Bind,TLN,2,3 (2),1 (1),4 (3),13 (7),508815,VCT 2025 Pacific Stage 2_csvs
Icebox,BME,0,2 (0),2 (0),5 (1),7 (2),508815,VCT 2025 Pacific Stage 2_csvs
Icebox,TLN,2,2 (2),0 (0),5 (5),9 (6),508815,VCT 2025 Pacific Stage 2_csvs
All Maps,BME,0,6 (0),3 (0),6 (2),22 (9),508815,VCT 2025 Pacific Stage 2_csvs
All Maps,TLN,4,5 (4),1 (1),9 (8),22 (13),508815,VCT 2025 Pacific Stage 2_csvs
Sunset,NS,0,4 (0),2 (0),1 (1),14 (7),508816,VCT 2025 Pacific Stage 2_csvs
Sunset,TS,2,2 (2),1 (1),7 (4),11 (6),508816,VCT 2025 Pacific Stage 2_csvs
Ascent,NS,0,4 (0),1 (0),3 (2),15 (11),508816,VCT 2025 Pacific Stage 2_csvs
Ascent,TS,2,2 (2),2 (0),10 (4),9 (4),508816,VCT 2025 Pacific Stage 2_csvs
All Maps,NS,2,2 (2),0 (0),5 (5),9 (6),508816,VCT 2025 Pacific Stage 2_csvs
All Maps,TS,0,4 (0),1 (0),3 (0),8 (3),508816,VCT 2025 Pacific Stage 2_csvs
Haven,T1,1,3 (1),2 (0),8 (6),19 (8),508817,VCT 2025 Pacific Stage 2_csvs
Haven,PRX,1,3 (1),2 (0),4 (3),23 (13),508817,VCT 2025 Pacific Stage 2_csvs
Lotus,T1,2,2 (2),2 (0),6 (3),16 (7),508817,VCT 2025 Pacific Stage 2_csvs
Lotus,PRX,0,4 (0),1 (0),2 (2),19 (12),508817,VCT 2025 Pacific Stage 2_csvs
All Maps,T1,3,5 (3),4 (0),14 (9),35 (15),508817,VCT 2025 Pacific Stage 2_csvs
All Maps,PRX,1,7 (1),3 (0),6 (5),42 (25),508817,VCT 2025 Pacific Stage 2_csvs
Corrode,DRX,1,3 (1),1 (1),5 (3),12 (3),508818,VCT 2025 Pacific Stage 2_csvs
Corrode,GEN,1,3 (1),1 (1),4 (3),13 (8),508818,VCT 2025 Pacific Stage 2_csvs
